Using device: cuda
Initialized new model
============================================================
MODEL PARAMETER COUNT
============================================================
Encoder parameters:    12,232,320
Decoder parameters:    970,016
Total parameters:      13,202,336
============================================================
Training from step 0 to 1000000
Step 0 (0.0%): Train Loss = 1.488727, Val Loss = 1.173882, Gnorm = 5.076918, Samples = 256, LR = 2.00e-04, Steps/sec = 0.00, Samples/sec = 0.0
Step 7000 (0.7%): Train Loss = 0.077789, Val Loss = 0.065059, Gnorm = 0.272773, Samples = 1792256, LR = 2.00e-04, Steps/sec = 1.03, Samples/sec = 263.7
Step 7500 (0.8%): Train Loss = 0.077749, Val Loss = 0.079710, Gnorm = 0.359397, Samples = 1920256, LR = 2.00e-04, Steps/sec = 1.01, Samples/sec = 258.2
Step 8000 (0.8%): Train Loss = 0.073930, Val Loss = 0.072741, Gnorm = 0.260227, Samples = 2048256, LR = 2.00e-04, Steps/sec = 1.03, Samples/sec = 264.6
Step 8500 (0.9%): Train Loss = 0.075812, Val Loss = 0.077165, Gnorm = 0.481843, Samples = 2176256, LR = 2.00e-04, Steps/sec = 1.01, Samples/sec = 258.7
Step 9000 (0.9%): Train Loss = 0.068199, Val Loss = 0.073488, Gnorm = 0.392789, Samples = 2304256, LR = 2.00e-04, Steps/sec = 1.04, Samples/sec = 265.8
Step 9500 (1.0%): Train Loss = 0.071816, Val Loss = 0.069670, Gnorm = 0.380467, Samples = 2432256, LR = 2.00e-04, Steps/sec = 1.01, Samples/sec = 258.4
Step 10000 (1.0%): Train Loss = 0.076793, Val Loss = 0.076786, Gnorm = 0.221586, Samples = 2560256, LR = 2.00e-04, Steps/sec = 1.03, Samples/sec = 264.5
Step 10500 (1.1%): Train Loss = 0.076215, Val Loss = 0.067235, Gnorm = 0.376804, Samples = 2688256, LR = 2.00e-04, Steps/sec = 1.03, Samples/sec = 264.7
Step 11000 (1.1%): Train Loss = 0.072394, Val Loss = 0.067415, Gnorm = 0.283763, Samples = 2816256, LR = 2.00e-04, Steps/sec = 1.01, Samples/sec = 259.2
Step 11500 (1.2%): Train Loss = 0.067837, Val Loss = 0.070306, Gnorm = 0.240710, Samples = 2944256, LR = 2.00e-04, Steps/sec = 1.03, Samples/sec = 264.9
Step 12000 (1.2%): Train Loss = 0.070223, Val Loss = 0.079507, Gnorm = 0.547822, Samples = 3072256, LR = 2.00e-04, Steps/sec = 1.01, Samples/sec = 259.2
Step 12500 (1.3%): Train Loss = 0.067683, Val Loss = 0.063175, Gnorm = 0.210792, Samples = 3200256, LR = 2.00e-04, Steps/sec = 1.04, Samples/sec = 266.0
Step 13000 (1.3%): Train Loss = 0.065254, Val Loss = 0.068707, Gnorm = 0.260714, Samples = 3328256, LR = 2.00e-04, Steps/sec = 1.01, Samples/sec = 259.1
Step 13500 (1.4%): Train Loss = 0.071289, Val Loss = 0.065864, Gnorm = 0.198477, Samples = 3456256, LR = 2.00e-04, Steps/sec = 1.04, Samples/sec = 266.2
Step 14000 (1.4%): Train Loss = 0.073367, Val Loss = 0.066690, Gnorm = 0.228088, Samples = 3584256, LR = 2.00e-04, Steps/sec = 1.04, Samples/sec = 265.8
Step 14500 (1.5%): Train Loss = 0.065203, Val Loss = 0.070916, Gnorm = 0.277469, Samples = 3712256, LR = 2.00e-04, Steps/sec = 1.01, Samples/sec = 258.9
Step 15000 (1.5%): Train Loss = 0.066271, Val Loss = 0.061094, Gnorm = 0.229279, Samples = 3840256, LR = 2.00e-04, Steps/sec = 1.04, Samples/sec = 265.9
Step 15500 (1.6%): Train Loss = 0.068419, Val Loss = 0.066944, Gnorm = 0.416769, Samples = 3968256, LR = 2.00e-04, Steps/sec = 1.02, Samples/sec = 260.1
Step 16000 (1.6%): Train Loss = 0.061485, Val Loss = 0.062104, Gnorm = 0.247003, Samples = 4096256, LR = 2.00e-04, Steps/sec = 1.04, Samples/sec = 265.8
Step 16500 (1.7%): Train Loss = 0.067732, Val Loss = 0.067971, Gnorm = 0.166748, Samples = 4224256, LR = 2.00e-04, Steps/sec = 1.01, Samples/sec = 258.3
Step 17000 (1.7%): Train Loss = 0.063633, Val Loss = 0.063944, Gnorm = 0.391700, Samples = 4352256, LR = 2.00e-04, Steps/sec = 1.04, Samples/sec = 265.9
Step 17500 (1.8%): Train Loss = 0.065687, Val Loss = 0.063037, Gnorm = 0.199846, Samples = 4480256, LR = 2.00e-04, Steps/sec = 1.04, Samples/sec = 265.0
Step 18000 (1.8%): Train Loss = 0.070781, Val Loss = 0.064687, Gnorm = 0.207610, Samples = 4608256, LR = 2.00e-04, Steps/sec = 1.01, Samples/sec = 258.9
Step 18500 (1.9%): Train Loss = 0.063486, Val Loss = 0.069514, Gnorm = 0.217286, Samples = 4736256, LR = 2.00e-04, Steps/sec = 1.03, Samples/sec = 264.3
Step 19000 (1.9%): Train Loss = 0.061560, Val Loss = 0.062621, Gnorm = 0.139313, Samples = 4864256, LR = 2.00e-04, Steps/sec = 1.01, Samples/sec = 259.5
Step 19500 (2.0%): Train Loss = 0.065165, Val Loss = 0.063111, Gnorm = 0.189357, Samples = 4992256, LR = 2.00e-04, Steps/sec = 1.04, Samples/sec = 265.4
Step 20000 (2.0%): Train Loss = 0.065396, Val Loss = 0.056669, Gnorm = 0.368020, Samples = 5120256, LR = 2.00e-04, Steps/sec = 1.04, Samples/sec = 265.9
Step 20500 (2.1%): Train Loss = 0.065975, Val Loss = 0.058136, Gnorm = 0.173514, Samples = 5248256, LR = 2.00e-04, Steps/sec = 1.02, Samples/sec = 261.3
Step 21000 (2.1%): Train Loss = 0.063135, Val Loss = 0.060011, Gnorm = 0.309986, Samples = 5376256, LR = 2.00e-04, Steps/sec = 1.04, Samples/sec = 265.7
Step 21500 (2.2%): Train Loss = 0.065061, Val Loss = 0.058116, Gnorm = 0.135521, Samples = 5504256, LR = 2.00e-04, Steps/sec = 1.01, Samples/sec = 258.9
Step 22000 (2.2%): Train Loss = 0.066034, Val Loss = 0.064311, Gnorm = 0.382417, Samples = 5632256, LR = 2.00e-04, Steps/sec = 1.04, Samples/sec = 265.1
Step 22500 (2.3%): Train Loss = 0.067745, Val Loss = 0.058673, Gnorm = 0.114304, Samples = 5760256, LR = 2.00e-04, Steps/sec = 1.01, Samples/sec = 259.2
Step 23000 (2.3%): Train Loss = 0.064663, Val Loss = 0.058021, Gnorm = 0.241862, Samples = 5888256, LR = 2.00e-04, Steps/sec = 1.04, Samples/sec = 265.9
Step 23500 (2.4%): Train Loss = 0.068816, Val Loss = 0.061500, Gnorm = 0.181778, Samples = 6016256, LR = 2.00e-04, Steps/sec = 1.04, Samples/sec = 266.1
Step 24000 (2.4%): Train Loss = 0.061949, Val Loss = 0.058390, Gnorm = 0.129088, Samples = 6144256, LR = 2.00e-04, Steps/sec = 1.01, Samples/sec = 259.8
Step 24500 (2.5%): Train Loss = 0.060784, Val Loss = 0.055676, Gnorm = 0.218490, Samples = 6272256, LR = 2.00e-04, Steps/sec = 1.04, Samples/sec = 265.4
Step 25000 (2.5%): Train Loss = 0.062997, Val Loss = 0.062448, Gnorm = 0.157750, Samples = 6400256, LR = 2.00e-04, Steps/sec = 1.01, Samples/sec = 259.8
Step 25500 (2.6%): Train Loss = 0.063322, Val Loss = 0.066593, Gnorm = 0.178891, Samples = 6528256, LR = 2.00e-04, Steps/sec = 1.03, Samples/sec = 264.6
Step 26000 (2.6%): Train Loss = 0.061452, Val Loss = 0.058021, Gnorm = 0.205547, Samples = 6656256, LR = 2.00e-04, Steps/sec = 1.01, Samples/sec = 257.5
Step 26500 (2.7%): Train Loss = 0.062505, Val Loss = 0.058685, Gnorm = 0.199833, Samples = 6784256, LR = 2.00e-04, Steps/sec = 1.04, Samples/sec = 266.6
Step 27000 (2.7%): Train Loss = 0.058674, Val Loss = 0.058433, Gnorm = 0.191191, Samples = 6912256, LR = 2.00e-04, Steps/sec = 1.04, Samples/sec = 266.3
Step 27500 (2.8%): Train Loss = 0.060373, Val Loss = 0.063968, Gnorm = 0.184372, Samples = 7040256, LR = 2.00e-04, Steps/sec = 1.02, Samples/sec = 260.1
Step 28000 (2.8%): Train Loss = 0.058445, Val Loss = 0.053977, Gnorm = 0.228690, Samples = 7168256, LR = 2.00e-04, Steps/sec = 1.04, Samples/sec = 265.7
Step 28500 (2.9%): Train Loss = 0.059195, Val Loss = 0.051369, Gnorm = 0.258669, Samples = 7296256, LR = 2.00e-04, Steps/sec = 1.02, Samples/sec = 259.9
Step 29000 (2.9%): Train Loss = 0.062911, Val Loss = 0.052399, Gnorm = 0.297677, Samples = 7424256, LR = 2.00e-04, Steps/sec = 1.04, Samples/sec = 265.9
Step 29500 (3.0%): Train Loss = 0.057508, Val Loss = 0.053818, Gnorm = 0.118797, Samples = 7552256, LR = 2.00e-04, Steps/sec = 1.01, Samples/sec = 257.8
Step 30000 (3.0%): Train Loss = 0.061340, Val Loss = 0.058988, Gnorm = 0.236974, Samples = 7680256, LR = 2.00e-04, Steps/sec = 1.04, Samples/sec = 265.3
Step 30500 (3.1%): Train Loss = 0.057454, Val Loss = 0.050769, Gnorm = 0.117201, Samples = 7808256, LR = 2.00e-04, Steps/sec = 1.04, Samples/sec = 266.1
Step 31000 (3.1%): Train Loss = 0.060447, Val Loss = 0.059351, Gnorm = 0.225436, Samples = 7936256, LR = 2.00e-04, Steps/sec = 1.01, Samples/sec = 259.8
Step 31500 (3.2%): Train Loss = 0.064507, Val Loss = 0.050225, Gnorm = 0.391371, Samples = 8064256, LR = 2.00e-04, Steps/sec = 1.04, Samples/sec = 265.1
Step 32000 (3.2%): Train Loss = 0.058126, Val Loss = 0.043697, Gnorm = 0.185885, Samples = 8192256, LR = 1.99e-04, Steps/sec = 1.01, Samples/sec = 259.7
Step 32500 (3.3%): Train Loss = 0.059369, Val Loss = 0.059283, Gnorm = 0.314332, Samples = 8320256, LR = 1.99e-04, Steps/sec = 1.04, Samples/sec = 265.8
Step 33000 (3.3%): Train Loss = 0.059509, Val Loss = 0.059499, Gnorm = 0.093963, Samples = 8448256, LR = 1.99e-04, Steps/sec = 1.01, Samples/sec = 258.2
Step 33500 (3.4%): Train Loss = 0.055625, Val Loss = 0.054102, Gnorm = 0.196913, Samples = 8576256, LR = 1.99e-04, Steps/sec = 1.04, Samples/sec = 266.6
Step 34000 (3.4%): Train Loss = 0.057988, Val Loss = 0.058067, Gnorm = 0.161493, Samples = 8704256, LR = 1.99e-04, Steps/sec = 1.04, Samples/sec = 265.7
Step 34500 (3.5%): Train Loss = 0.055499, Val Loss = 0.053075, Gnorm = 0.226950, Samples = 8832256, LR = 1.99e-04, Steps/sec = 1.01, Samples/sec = 259.1
Step 35000 (3.5%): Train Loss = 0.060020, Val Loss = 0.056066, Gnorm = 0.126866, Samples = 8960256, LR = 1.99e-04, Steps/sec = 1.04, Samples/sec = 265.0
Step 35500 (3.6%): Train Loss = 0.056246, Val Loss = 0.054565, Gnorm = 0.155841, Samples = 9088256, LR = 1.99e-04, Steps/sec = 1.01, Samples/sec = 257.6
Step 36000 (3.6%): Train Loss = 0.056351, Val Loss = 0.058694, Gnorm = 0.085933, Samples = 9216256, LR = 1.99e-04, Steps/sec = 1.04, Samples/sec = 265.8
Step 36500 (3.7%): Train Loss = 0.060520, Val Loss = 0.061085, Gnorm = 0.139123, Samples = 9344256, LR = 1.99e-04, Steps/sec = 1.04, Samples/sec = 265.0
Step 37000 (3.7%): Train Loss = 0.059019, Val Loss = 0.064390, Gnorm = 0.204891, Samples = 9472256, LR = 1.99e-04, Steps/sec = 1.01, Samples/sec = 258.7
Step 37500 (3.8%): Train Loss = 0.055851, Val Loss = 0.049661, Gnorm = 0.141599, Samples = 9600256, LR = 1.99e-04, Steps/sec = 1.03, Samples/sec = 264.7
Step 38000 (3.8%): Train Loss = 0.057803, Val Loss = 0.052505, Gnorm = 0.129568, Samples = 9728256, LR = 1.99e-04, Steps/sec = 1.01, Samples/sec = 258.1
Step 38500 (3.9%): Train Loss = 0.057085, Val Loss = 0.054438, Gnorm = 0.127032, Samples = 9856256, LR = 1.99e-04, Steps/sec = 1.03, Samples/sec = 264.7
Step 39000 (3.9%): Train Loss = 0.054498, Val Loss = 0.056816, Gnorm = 0.264808, Samples = 9984256, LR = 1.99e-04, Steps/sec = 1.01, Samples/sec = 257.9
Step 39500 (4.0%): Train Loss = 0.054497, Val Loss = 0.050032, Gnorm = 0.143599, Samples = 10112256, LR = 1.99e-04, Steps/sec = 1.04, Samples/sec = 266.3
Step 40000 (4.0%): Train Loss = 0.055834, Val Loss = 0.051482, Gnorm = 0.227036, Samples = 10240256, LR = 1.99e-04, Steps/sec = 1.04, Samples/sec = 265.6
Step 40500 (4.1%): Train Loss = 0.051586, Val Loss = 0.055010, Gnorm = 0.156019, Samples = 10368256, LR = 1.99e-04, Steps/sec = 1.01, Samples/sec = 259.2
Step 41000 (4.1%): Train Loss = 0.056987, Val Loss = 0.057385, Gnorm = 0.242553, Samples = 10496256, LR = 1.99e-04, Steps/sec = 1.03, Samples/sec = 264.8
Step 41500 (4.2%): Train Loss = 0.055877, Val Loss = 0.059618, Gnorm = 0.186794, Samples = 10624256, LR = 1.99e-04, Steps/sec = 1.01, Samples/sec = 258.5
Step 42000 (4.2%): Train Loss = 0.053626, Val Loss = 0.054984, Gnorm = 0.163031, Samples = 10752256, LR = 1.99e-04, Steps/sec = 1.04, Samples/sec = 265.9
Step 42500 (4.3%): Train Loss = 0.056583, Val Loss = 0.058497, Gnorm = 0.111120, Samples = 10880256, LR = 1.99e-04, Steps/sec = 1.01, Samples/sec = 258.7
Step 43000 (4.3%): Train Loss = 0.059487, Val Loss = 0.048900, Gnorm = 0.150571, Samples = 11008256, LR = 1.99e-04, Steps/sec = 1.04, Samples/sec = 265.1
Step 43500 (4.4%): Train Loss = 0.055469, Val Loss = 0.051436, Gnorm = 0.135351, Samples = 11136256, LR = 1.99e-04, Steps/sec = 1.04, Samples/sec = 265.4
Step 44000 (4.4%): Train Loss = 0.057875, Val Loss = 0.054571, Gnorm = 0.164668, Samples = 11264256, LR = 1.99e-04, Steps/sec = 1.01, Samples/sec = 258.7
Step 44500 (4.5%): Train Loss = 0.055220, Val Loss = 0.061195, Gnorm = 0.181559, Samples = 11392256, LR = 1.99e-04, Steps/sec = 1.04, Samples/sec = 265.4
Step 45000 (4.5%): Train Loss = 0.051362, Val Loss = 0.054770, Gnorm = 0.148901, Samples = 11520256, LR = 1.99e-04, Steps/sec = 1.01, Samples/sec = 258.5
Step 45500 (4.6%): Train Loss = 0.055839, Val Loss = 0.053225, Gnorm = 0.162955, Samples = 11648256, LR = 1.99e-04, Steps/sec = 1.04, Samples/sec = 265.5
Step 46000 (4.6%): Train Loss = 0.054909, Val Loss = 0.055244, Gnorm = 0.095194, Samples = 11776256, LR = 1.99e-04, Steps/sec = 1.01, Samples/sec = 258.9
Step 46500 (4.7%): Train Loss = 0.055525, Val Loss = 0.051774, Gnorm = 0.136098, Samples = 11904256, LR = 1.99e-04, Steps/sec = 1.04, Samples/sec = 266.0
Step 47000 (4.7%): Train Loss = 0.051209, Val Loss = 0.054349, Gnorm = 0.107698, Samples = 12032256, LR = 1.99e-04, Steps/sec = 1.03, Samples/sec = 264.9
Step 47500 (4.8%): Train Loss = 0.054112, Val Loss = 0.049679, Gnorm = 0.199541, Samples = 12160256, LR = 1.99e-04, Steps/sec = 1.01, Samples/sec = 258.2
Step 48000 (4.8%): Train Loss = 0.051406, Val Loss = 0.051218, Gnorm = 0.106705, Samples = 12288256, LR = 1.99e-04, Steps/sec = 1.04, Samples/sec = 265.5
Step 48500 (4.9%): Train Loss = 0.057373, Val Loss = 0.050974, Gnorm = 0.165639, Samples = 12416256, LR = 1.99e-04, Steps/sec = 1.01, Samples/sec = 259.0
Step 49000 (4.9%): Train Loss = 0.054842, Val Loss = 0.049529, Gnorm = 0.146181, Samples = 12544256, LR = 1.99e-04, Steps/sec = 1.04, Samples/sec = 265.9
Step 49500 (5.0%): Train Loss = 0.050345, Val Loss = 0.051409, Gnorm = 0.157151, Samples = 12672256, LR = 1.99e-04, Steps/sec = 1.01, Samples/sec = 258.2
Step 50000 (5.0%): Train Loss = 0.055398, Val Loss = 0.047355, Gnorm = 0.160077, Samples = 12800256, LR = 1.99e-04, Steps/sec = 1.04, Samples/sec = 266.4
Step 50500 (5.1%): Train Loss = 0.061270, Val Loss = 0.050600, Gnorm = 0.187634, Samples = 12928256, LR = 1.99e-04, Steps/sec = 1.03, Samples/sec = 264.8
Step 51000 (5.1%): Train Loss = 0.053308, Val Loss = 0.051638, Gnorm = 0.162555, Samples = 13056256, LR = 1.99e-04, Steps/sec = 1.02, Samples/sec = 259.9
Step 51500 (5.2%): Train Loss = 0.054529, Val Loss = 0.053217, Gnorm = 0.164317, Samples = 13184256, LR = 1.99e-04, Steps/sec = 1.04, Samples/sec = 267.4
Step 52000 (5.2%): Train Loss = 0.055798, Val Loss = 0.051952, Gnorm = 0.180341, Samples = 13312256, LR = 1.99e-04, Steps/sec = 1.02, Samples/sec = 261.4
Step 52500 (5.3%): Train Loss = 0.052587, Val Loss = 0.050025, Gnorm = 0.086042, Samples = 13440256, LR = 1.99e-04, Steps/sec = 1.05, Samples/sec = 268.1
Step 53000 (5.3%): Train Loss = 0.051077, Val Loss = 0.051940, Gnorm = 0.197486, Samples = 13568256, LR = 1.99e-04, Steps/sec = 1.05, Samples/sec = 267.6
Step 53500 (5.4%): Train Loss = 0.053894, Val Loss = 0.054331, Gnorm = 0.143488, Samples = 13696256, LR = 1.99e-04, Steps/sec = 1.02, Samples/sec = 261.6
Step 54000 (5.4%): Train Loss = 0.057155, Val Loss = 0.056938, Gnorm = 0.138428, Samples = 13824256, LR = 1.99e-04, Steps/sec = 1.05, Samples/sec = 268.4
Step 54500 (5.5%): Train Loss = 0.052418, Val Loss = 0.050611, Gnorm = 0.177228, Samples = 13952256, LR = 1.99e-04, Steps/sec = 1.02, Samples/sec = 261.2
Step 55000 (5.5%): Train Loss = 0.050378, Val Loss = 0.044679, Gnorm = 0.151093, Samples = 14080256, LR = 1.99e-04, Steps/sec = 1.04, Samples/sec = 266.7
Step 55500 (5.6%): Train Loss = 0.060304, Val Loss = 0.054554, Gnorm = 0.175443, Samples = 14208256, LR = 1.98e-04, Steps/sec = 1.01, Samples/sec = 259.8
Step 56000 (5.6%): Train Loss = 0.051024, Val Loss = 0.050978, Gnorm = 0.154593, Samples = 14336256, LR = 1.98e-04, Steps/sec = 1.04, Samples/sec = 266.7
Step 56500 (5.7%): Train Loss = 0.054721, Val Loss = 0.053815, Gnorm = 0.095133, Samples = 14464256, LR = 1.98e-04, Steps/sec = 1.04, Samples/sec = 267.1
Step 57000 (5.7%): Train Loss = 0.053992, Val Loss = 0.056205, Gnorm = 0.142940, Samples = 14592256, LR = 1.98e-04, Steps/sec = 1.02, Samples/sec = 262.2
Step 57500 (5.8%): Train Loss = 0.053207, Val Loss = 0.047797, Gnorm = 0.204206, Samples = 14720256, LR = 1.98e-04, Steps/sec = 1.05, Samples/sec = 268.7
Step 58000 (5.8%): Train Loss = 0.054053, Val Loss = 0.057071, Gnorm = 0.102125, Samples = 14848256, LR = 1.98e-04, Steps/sec = 1.02, Samples/sec = 261.5
Step 58500 (5.9%): Train Loss = 0.054767, Val Loss = 0.053327, Gnorm = 0.083117, Samples = 14976256, LR = 1.98e-04, Steps/sec = 1.05, Samples/sec = 268.2
Step 59000 (5.9%): Train Loss = 0.058618, Val Loss = 0.052841, Gnorm = 0.291228, Samples = 15104256, LR = 1.98e-04, Steps/sec = 1.02, Samples/sec = 262.0
Step 59500 (6.0%): Train Loss = 0.055042, Val Loss = 0.056065, Gnorm = 0.092937, Samples = 15232256, LR = 1.98e-04, Steps/sec = 1.05, Samples/sec = 268.2
Step 60000 (6.0%): Train Loss = 0.051773, Val Loss = 0.050780, Gnorm = 0.100432, Samples = 15360256, LR = 1.98e-04, Steps/sec = 1.04, Samples/sec = 267.3
Step 60500 (6.1%): Train Loss = 0.052282, Val Loss = 0.054356, Gnorm = 0.121888, Samples = 15488256, LR = 1.98e-04, Steps/sec = 1.02, Samples/sec = 260.0
Step 61000 (6.1%): Train Loss = 0.051262, Val Loss = 0.050155, Gnorm = 0.207196, Samples = 15616256, LR = 1.98e-04, Steps/sec = 1.04, Samples/sec = 265.1
Step 61500 (6.2%): Train Loss = 0.050445, Val Loss = 0.051870, Gnorm = 0.130298, Samples = 15744256, LR = 1.98e-04, Steps/sec = 1.01, Samples/sec = 258.9
Step 62000 (6.2%): Train Loss = 0.054255, Val Loss = 0.050879, Gnorm = 0.099925, Samples = 15872256, LR = 1.98e-04, Steps/sec = 1.04, Samples/sec = 265.3
Step 62500 (6.3%): Train Loss = 0.048719, Val Loss = 0.047947, Gnorm = 0.086930, Samples = 16000256, LR = 1.98e-04, Steps/sec = 1.01, Samples/sec = 258.9
Step 63000 (6.3%): Train Loss = 0.051941, Val Loss = 0.048798, Gnorm = 0.108808, Samples = 16128256, LR = 1.98e-04, Steps/sec = 1.04, Samples/sec = 265.5
Step 63500 (6.4%): Train Loss = 0.049894, Val Loss = 0.048162, Gnorm = 0.073626, Samples = 16256256, LR = 1.98e-04, Steps/sec = 1.04, Samples/sec = 266.5
Step 64000 (6.4%): Train Loss = 0.052214, Val Loss = 0.047391, Gnorm = 0.137851, Samples = 16384256, LR = 1.98e-04, Steps/sec = 1.01, Samples/sec = 259.7
Step 64500 (6.5%): Train Loss = 0.051841, Val Loss = 0.046653, Gnorm = 0.121445, Samples = 16512256, LR = 1.98e-04, Steps/sec = 1.04, Samples/sec = 266.0
Step 65000 (6.5%): Train Loss = 0.053732, Val Loss = 0.046410, Gnorm = 0.354712, Samples = 16640256, LR = 1.98e-04, Steps/sec = 1.01, Samples/sec = 259.2
Step 65500 (6.6%): Train Loss = 0.050575, Val Loss = 0.051867, Gnorm = 0.106282, Samples = 16768256, LR = 1.98e-04, Steps/sec = 1.04, Samples/sec = 266.2
Step 66000 (6.6%): Train Loss = 0.052541, Val Loss = 0.051057, Gnorm = 0.225442, Samples = 16896256, LR = 1.98e-04, Steps/sec = 1.01, Samples/sec = 258.1
Step 66500 (6.7%): Train Loss = 0.050035, Val Loss = 0.046092, Gnorm = 0.100820, Samples = 17024256, LR = 1.98e-04, Steps/sec = 1.04, Samples/sec = 266.1
Step 67000 (6.7%): Train Loss = 0.050400, Val Loss = 0.051631, Gnorm = 0.151076, Samples = 17152256, LR = 1.98e-04, Steps/sec = 1.03, Samples/sec = 264.5
Step 67500 (6.8%): Train Loss = 0.050131, Val Loss = 0.048515, Gnorm = 0.178252, Samples = 17280256, LR = 1.98e-04, Steps/sec = 1.01, Samples/sec = 259.6
Step 68000 (6.8%): Train Loss = 0.049938, Val Loss = 0.048434, Gnorm = 0.091895, Samples = 17408256, LR = 1.98e-04, Steps/sec = 1.03, Samples/sec = 264.9
Step 68500 (6.9%): Train Loss = 0.049621, Val Loss = 0.048734, Gnorm = 0.061873, Samples = 17536256, LR = 1.98e-04, Steps/sec = 1.01, Samples/sec = 259.7
Step 69000 (6.9%): Train Loss = 0.049121, Val Loss = 0.057832, Gnorm = 0.117797, Samples = 17664256, LR = 1.98e-04, Steps/sec = 1.04, Samples/sec = 265.6
Step 69500 (7.0%): Train Loss = 0.049365, Val Loss = 0.052032, Gnorm = 0.140507, Samples = 17792256, LR = 1.98e-04, Steps/sec = 1.01, Samples/sec = 258.4
Step 70000 (7.0%): Train Loss = 0.050491, Val Loss = 0.050063, Gnorm = 0.111510, Samples = 17920256, LR = 1.98e-04, Steps/sec = 1.04, Samples/sec = 267.4
Step 70500 (7.1%): Train Loss = 0.049967, Val Loss = 0.048682, Gnorm = 0.077408, Samples = 18048256, LR = 1.98e-04, Steps/sec = 1.04, Samples/sec = 267.1
Step 71000 (7.1%): Train Loss = 0.049407, Val Loss = 0.048806, Gnorm = 0.114266, Samples = 18176256, LR = 1.98e-04, Steps/sec = 1.02, Samples/sec = 259.9
Step 71500 (7.2%): Train Loss = 0.048555, Val Loss = 0.049688, Gnorm = 0.102754, Samples = 18304256, LR = 1.97e-04, Steps/sec = 1.04, Samples/sec = 265.9
Step 72000 (7.2%): Train Loss = 0.054012, Val Loss = 0.043917, Gnorm = 0.156497, Samples = 18432256, LR = 1.97e-04, Steps/sec = 1.01, Samples/sec = 258.9
Step 72500 (7.3%): Train Loss = 0.047130, Val Loss = 0.049185, Gnorm = 0.077443, Samples = 18560256, LR = 1.97e-04, Steps/sec = 1.04, Samples/sec = 265.0
Step 73000 (7.3%): Train Loss = 0.048661, Val Loss = 0.046523, Gnorm = 0.101806, Samples = 18688256, LR = 1.97e-04, Steps/sec = 1.04, Samples/sec = 265.9
Step 73500 (7.4%): Train Loss = 0.053694, Val Loss = 0.048856, Gnorm = 0.095150, Samples = 18816256, LR = 1.97e-04, Steps/sec = 1.01, Samples/sec = 259.0
Step 74000 (7.4%): Train Loss = 0.046883, Val Loss = 0.045900, Gnorm = 0.078599, Samples = 18944256, LR = 1.97e-04, Steps/sec = 1.04, Samples/sec = 265.0
