Using device: cuda
Initialized new model
============================================================
MODEL PARAMETER COUNT
============================================================
Encoder parameters:    12,232,320
Decoder parameters:    970,016
Total parameters:      13,202,336
============================================================
Training from step 0 to 1000000
Step 0 (0.0%): Train Loss = 1.846472, Val Loss = 1.295519, Gnorm = 6.976364, Samples = 256, LR = 2.00e-04, Steps/sec = 0.00, Samples/sec = 0.0
Step 15500 (1.6%): Train Loss = 0.423329, Val Loss = 0.404048, Gnorm = 0.210041, Samples = 3968256, LR = 2.00e-04, Steps/sec = 1.10, Samples/sec = 280.4
Step 16000 (1.6%): Train Loss = 0.425333, Val Loss = 0.447946, Gnorm = 0.338928, Samples = 4096256, LR = 2.00e-04, Steps/sec = 1.13, Samples/sec = 288.2
Step 16500 (1.7%): Train Loss = 0.434700, Val Loss = 0.414056, Gnorm = 0.220102, Samples = 4224256, LR = 2.00e-04, Steps/sec = 1.10, Samples/sec = 280.4
Step 17000 (1.7%): Train Loss = 0.423606, Val Loss = 0.413893, Gnorm = 0.189036, Samples = 4352256, LR = 2.00e-04, Steps/sec = 1.13, Samples/sec = 288.8
Step 17500 (1.8%): Train Loss = 0.433201, Val Loss = 0.387419, Gnorm = 0.190765, Samples = 4480256, LR = 2.00e-04, Steps/sec = 1.13, Samples/sec = 288.1
Step 18000 (1.8%): Train Loss = 0.432060, Val Loss = 0.461139, Gnorm = 0.191992, Samples = 4608256, LR = 2.00e-04, Steps/sec = 1.09, Samples/sec = 279.2
Step 18500 (1.9%): Train Loss = 0.427898, Val Loss = 0.402242, Gnorm = 0.212326, Samples = 4736256, LR = 2.00e-04, Steps/sec = 1.13, Samples/sec = 288.4
Step 19000 (1.9%): Train Loss = 0.399813, Val Loss = 0.420930, Gnorm = 0.244708, Samples = 4864256, LR = 2.00e-04, Steps/sec = 1.09, Samples/sec = 279.6
Step 19500 (2.0%): Train Loss = 0.425324, Val Loss = 0.410568, Gnorm = 0.145755, Samples = 4992256, LR = 2.00e-04, Steps/sec = 1.12, Samples/sec = 287.9
Step 20000 (2.0%): Train Loss = 0.427480, Val Loss = 0.373735, Gnorm = 0.158680, Samples = 5120256, LR = 2.00e-04, Steps/sec = 1.12, Samples/sec = 287.4
Step 20500 (2.1%): Train Loss = 0.414767, Val Loss = 0.394662, Gnorm = 0.134442, Samples = 5248256, LR = 2.00e-04, Steps/sec = 1.09, Samples/sec = 279.4
Step 21000 (2.1%): Train Loss = 0.418074, Val Loss = 0.409564, Gnorm = 0.219610, Samples = 5376256, LR = 2.00e-04, Steps/sec = 1.12, Samples/sec = 287.7
Step 21500 (2.2%): Train Loss = 0.415558, Val Loss = 0.377849, Gnorm = 0.171923, Samples = 5504256, LR = 2.00e-04, Steps/sec = 1.09, Samples/sec = 279.8
Step 22000 (2.2%): Train Loss = 0.416540, Val Loss = 0.363355, Gnorm = 0.152678, Samples = 5632256, LR = 2.00e-04, Steps/sec = 1.13, Samples/sec = 288.6
Step 22500 (2.3%): Train Loss = 0.420088, Val Loss = 0.405449, Gnorm = 0.159399, Samples = 5760256, LR = 2.00e-04, Steps/sec = 1.09, Samples/sec = 279.7
Step 23000 (2.3%): Train Loss = 0.409184, Val Loss = 0.406079, Gnorm = 0.218314, Samples = 5888256, LR = 2.00e-04, Steps/sec = 1.12, Samples/sec = 287.7
Step 23500 (2.4%): Train Loss = 0.423053, Val Loss = 0.397568, Gnorm = 0.202726, Samples = 6016256, LR = 2.00e-04, Steps/sec = 1.12, Samples/sec = 287.4
Step 24000 (2.4%): Train Loss = 0.408661, Val Loss = 0.369970, Gnorm = 0.159512, Samples = 6144256, LR = 2.00e-04, Steps/sec = 1.09, Samples/sec = 279.5
Step 24500 (2.5%): Train Loss = 0.409883, Val Loss = 0.426644, Gnorm = 0.177744, Samples = 6272256, LR = 2.00e-04, Steps/sec = 1.12, Samples/sec = 287.2
Step 25000 (2.5%): Train Loss = 0.413482, Val Loss = 0.411346, Gnorm = 0.155615, Samples = 6400256, LR = 2.00e-04, Steps/sec = 1.09, Samples/sec = 279.0
Step 25500 (2.6%): Train Loss = 0.422441, Val Loss = 0.406445, Gnorm = 0.143227, Samples = 6528256, LR = 2.00e-04, Steps/sec = 1.12, Samples/sec = 287.7
Step 26000 (2.6%): Train Loss = 0.401048, Val Loss = 0.369210, Gnorm = 0.194048, Samples = 6656256, LR = 2.00e-04, Steps/sec = 1.09, Samples/sec = 278.6
Step 26500 (2.7%): Train Loss = 0.403414, Val Loss = 0.415720, Gnorm = 0.160874, Samples = 6784256, LR = 2.00e-04, Steps/sec = 1.12, Samples/sec = 287.5
Step 27000 (2.7%): Train Loss = 0.408183, Val Loss = 0.473875, Gnorm = 0.155978, Samples = 6912256, LR = 2.00e-04, Steps/sec = 1.12, Samples/sec = 287.7
Step 27500 (2.8%): Train Loss = 0.412801, Val Loss = 0.406541, Gnorm = 0.172532, Samples = 7040256, LR = 2.00e-04, Steps/sec = 1.09, Samples/sec = 279.1
Step 28000 (2.8%): Train Loss = 0.401340, Val Loss = 0.403771, Gnorm = 0.160222, Samples = 7168256, LR = 2.00e-04, Steps/sec = 1.12, Samples/sec = 288.0
Step 28500 (2.9%): Train Loss = 0.399261, Val Loss = 0.401496, Gnorm = 0.256212, Samples = 7296256, LR = 2.00e-04, Steps/sec = 1.09, Samples/sec = 280.1
Step 29000 (2.9%): Train Loss = 0.422032, Val Loss = 0.403806, Gnorm = 0.210208, Samples = 7424256, LR = 2.00e-04, Steps/sec = 1.12, Samples/sec = 287.8
Step 29500 (3.0%): Train Loss = 0.392969, Val Loss = 0.420379, Gnorm = 0.208905, Samples = 7552256, LR = 2.00e-04, Steps/sec = 1.09, Samples/sec = 279.6
Step 30000 (3.0%): Train Loss = 0.415848, Val Loss = 0.388395, Gnorm = 0.152720, Samples = 7680256, LR = 2.00e-04, Steps/sec = 1.13, Samples/sec = 288.2
Step 30500 (3.1%): Train Loss = 0.403203, Val Loss = 0.401396, Gnorm = 0.217885, Samples = 7808256, LR = 2.00e-04, Steps/sec = 1.12, Samples/sec = 287.6
Step 31000 (3.1%): Train Loss = 0.407632, Val Loss = 0.421448, Gnorm = 0.144042, Samples = 7936256, LR = 2.00e-04, Steps/sec = 1.09, Samples/sec = 279.8
Step 31500 (3.2%): Train Loss = 0.409497, Val Loss = 0.387842, Gnorm = 0.186940, Samples = 8064256, LR = 2.00e-04, Steps/sec = 1.13, Samples/sec = 288.3
Step 32000 (3.2%): Train Loss = 0.405565, Val Loss = 0.425786, Gnorm = 0.211193, Samples = 8192256, LR = 1.99e-04, Steps/sec = 1.09, Samples/sec = 279.4
Step 32500 (3.3%): Train Loss = 0.407567, Val Loss = 0.393629, Gnorm = 0.167836, Samples = 8320256, LR = 1.99e-04, Steps/sec = 1.12, Samples/sec = 288.0
Step 33000 (3.3%): Train Loss = 0.398006, Val Loss = 0.398170, Gnorm = 0.168162, Samples = 8448256, LR = 1.99e-04, Steps/sec = 1.09, Samples/sec = 278.5
Step 33500 (3.4%): Train Loss = 0.400976, Val Loss = 0.408959, Gnorm = 0.208910, Samples = 8576256, LR = 1.99e-04, Steps/sec = 1.13, Samples/sec = 288.5
Step 34000 (3.4%): Train Loss = 0.403937, Val Loss = 0.382155, Gnorm = 0.208441, Samples = 8704256, LR = 1.99e-04, Steps/sec = 1.12, Samples/sec = 288.0
Step 34500 (3.5%): Train Loss = 0.406375, Val Loss = 0.409740, Gnorm = 0.200990, Samples = 8832256, LR = 1.99e-04, Steps/sec = 1.09, Samples/sec = 279.6
Step 35000 (3.5%): Train Loss = 0.416853, Val Loss = 0.399003, Gnorm = 0.181782, Samples = 8960256, LR = 1.99e-04, Steps/sec = 1.13, Samples/sec = 288.5
Step 35500 (3.6%): Train Loss = 0.401630, Val Loss = 0.408905, Gnorm = 0.149476, Samples = 9088256, LR = 1.99e-04, Steps/sec = 1.09, Samples/sec = 279.5
Step 36000 (3.6%): Train Loss = 0.389984, Val Loss = 0.394703, Gnorm = 0.197242, Samples = 9216256, LR = 1.99e-04, Steps/sec = 1.12, Samples/sec = 287.3
Step 36500 (3.7%): Train Loss = 0.408426, Val Loss = 0.403768, Gnorm = 0.159353, Samples = 9344256, LR = 1.99e-04, Steps/sec = 1.13, Samples/sec = 288.3
Step 37000 (3.7%): Train Loss = 0.409680, Val Loss = 0.395137, Gnorm = 0.205493, Samples = 9472256, LR = 1.99e-04, Steps/sec = 1.09, Samples/sec = 279.7
Step 37500 (3.8%): Train Loss = 0.405201, Val Loss = 0.391047, Gnorm = 0.234846, Samples = 9600256, LR = 1.99e-04, Steps/sec = 1.12, Samples/sec = 287.8
Step 38000 (3.8%): Train Loss = 0.388501, Val Loss = 0.398396, Gnorm = 0.205921, Samples = 9728256, LR = 1.99e-04, Steps/sec = 1.09, Samples/sec = 279.9
Step 38500 (3.9%): Train Loss = 0.396525, Val Loss = 0.432200, Gnorm = 0.247238, Samples = 9856256, LR = 1.99e-04, Steps/sec = 1.12, Samples/sec = 287.1
Step 39000 (3.9%): Train Loss = 0.400818, Val Loss = 0.426908, Gnorm = 0.133081, Samples = 9984256, LR = 1.99e-04, Steps/sec = 1.09, Samples/sec = 278.8
Step 39500 (4.0%): Train Loss = 0.396412, Val Loss = 0.434381, Gnorm = 0.246981, Samples = 10112256, LR = 1.99e-04, Steps/sec = 1.12, Samples/sec = 287.3
Step 40000 (4.0%): Train Loss = 0.400338, Val Loss = 0.418685, Gnorm = 0.183097, Samples = 10240256, LR = 1.99e-04, Steps/sec = 1.13, Samples/sec = 288.2
Step 40500 (4.1%): Train Loss = 0.409460, Val Loss = 0.386568, Gnorm = 0.244076, Samples = 10368256, LR = 1.99e-04, Steps/sec = 1.09, Samples/sec = 280.0
Step 41000 (4.1%): Train Loss = 0.397947, Val Loss = 0.399573, Gnorm = 0.231890, Samples = 10496256, LR = 1.99e-04, Steps/sec = 1.12, Samples/sec = 287.6
Step 41500 (4.2%): Train Loss = 0.402918, Val Loss = 0.396859, Gnorm = 0.229985, Samples = 10624256, LR = 1.99e-04, Steps/sec = 1.10, Samples/sec = 280.6
Step 42000 (4.2%): Train Loss = 0.396052, Val Loss = 0.425428, Gnorm = 0.264751, Samples = 10752256, LR = 1.99e-04, Steps/sec = 1.12, Samples/sec = 287.2
Step 42500 (4.3%): Train Loss = 0.383863, Val Loss = 0.382797, Gnorm = 0.213788, Samples = 10880256, LR = 1.99e-04, Steps/sec = 1.09, Samples/sec = 278.8
Step 43000 (4.3%): Train Loss = 0.403833, Val Loss = 0.429821, Gnorm = 0.276730, Samples = 11008256, LR = 1.99e-04, Steps/sec = 1.12, Samples/sec = 287.7
Step 43500 (4.4%): Train Loss = 0.403506, Val Loss = 0.397184, Gnorm = 0.230308, Samples = 11136256, LR = 1.99e-04, Steps/sec = 1.12, Samples/sec = 286.6
Step 44000 (4.4%): Train Loss = 0.403461, Val Loss = 0.382630, Gnorm = 0.217721, Samples = 11264256, LR = 1.99e-04, Steps/sec = 1.09, Samples/sec = 278.3
Step 44500 (4.5%): Train Loss = 0.413356, Val Loss = 0.386583, Gnorm = 0.201242, Samples = 11392256, LR = 1.99e-04, Steps/sec = 1.12, Samples/sec = 287.6
Step 45000 (4.5%): Train Loss = 0.406533, Val Loss = 0.397407, Gnorm = 0.187401, Samples = 11520256, LR = 1.99e-04, Steps/sec = 1.09, Samples/sec = 279.6
Step 45500 (4.6%): Train Loss = 0.390650, Val Loss = 0.389610, Gnorm = 0.235225, Samples = 11648256, LR = 1.99e-04, Steps/sec = 1.12, Samples/sec = 287.3
Step 46000 (4.6%): Train Loss = 0.394296, Val Loss = 0.366939, Gnorm = 0.164620, Samples = 11776256, LR = 1.99e-04, Steps/sec = 1.09, Samples/sec = 278.9
Step 46500 (4.7%): Train Loss = 0.406517, Val Loss = 0.398591, Gnorm = 0.222735, Samples = 11904256, LR = 1.99e-04, Steps/sec = 1.12, Samples/sec = 287.3
Step 47000 (4.7%): Train Loss = 0.381852, Val Loss = 0.388212, Gnorm = 0.309277, Samples = 12032256, LR = 1.99e-04, Steps/sec = 1.12, Samples/sec = 287.8
Step 47500 (4.8%): Train Loss = 0.403577, Val Loss = 0.385609, Gnorm = 0.174808, Samples = 12160256, LR = 1.99e-04, Steps/sec = 1.09, Samples/sec = 279.4
Step 48000 (4.8%): Train Loss = 0.404958, Val Loss = 0.374566, Gnorm = 0.252121, Samples = 12288256, LR = 1.99e-04, Steps/sec = 1.13, Samples/sec = 288.1
Step 48500 (4.9%): Train Loss = 0.389634, Val Loss = 0.362440, Gnorm = 0.201239, Samples = 12416256, LR = 1.99e-04, Steps/sec = 1.09, Samples/sec = 280.0
Step 49000 (4.9%): Train Loss = 0.409206, Val Loss = 0.375050, Gnorm = 0.244469, Samples = 12544256, LR = 1.99e-04, Steps/sec = 1.13, Samples/sec = 288.1
Step 49500 (5.0%): Train Loss = 0.391067, Val Loss = 0.403941, Gnorm = 0.194057, Samples = 12672256, LR = 1.99e-04, Steps/sec = 1.09, Samples/sec = 280.1
Step 50000 (5.0%): Train Loss = 0.397078, Val Loss = 0.365823, Gnorm = 0.219072, Samples = 12800256, LR = 1.99e-04, Steps/sec = 1.12, Samples/sec = 287.8
Step 50500 (5.1%): Train Loss = 0.392977, Val Loss = 0.370493, Gnorm = 0.190833, Samples = 12928256, LR = 1.99e-04, Steps/sec = 1.13, Samples/sec = 288.6
Step 51000 (5.1%): Train Loss = 0.390942, Val Loss = 0.393574, Gnorm = 0.194616, Samples = 13056256, LR = 1.99e-04, Steps/sec = 1.09, Samples/sec = 279.6
Step 51500 (5.2%): Train Loss = 0.390144, Val Loss = 0.376345, Gnorm = 0.241379, Samples = 13184256, LR = 1.99e-04, Steps/sec = 1.12, Samples/sec = 287.9
Step 52000 (5.2%): Train Loss = 0.399305, Val Loss = 0.350475, Gnorm = 0.231679, Samples = 13312256, LR = 1.99e-04, Steps/sec = 1.09, Samples/sec = 280.2
Step 52500 (5.3%): Train Loss = 0.382146, Val Loss = 0.336702, Gnorm = 0.269627, Samples = 13440256, LR = 1.99e-04, Steps/sec = 1.12, Samples/sec = 287.3
Step 53000 (5.3%): Train Loss = 0.373727, Val Loss = 0.391607, Gnorm = 0.256641, Samples = 13568256, LR = 1.99e-04, Steps/sec = 1.13, Samples/sec = 288.0
Step 53500 (5.4%): Train Loss = 0.378838, Val Loss = 0.387045, Gnorm = 0.240771, Samples = 13696256, LR = 1.99e-04, Steps/sec = 1.09, Samples/sec = 279.1
Step 54000 (5.4%): Train Loss = 0.373114, Val Loss = 0.363207, Gnorm = 0.276891, Samples = 13824256, LR = 1.99e-04, Steps/sec = 1.12, Samples/sec = 287.9
Step 54500 (5.5%): Train Loss = 0.392629, Val Loss = 0.394995, Gnorm = 0.237910, Samples = 13952256, LR = 1.99e-04, Steps/sec = 1.10, Samples/sec = 280.8
Step 55000 (5.5%): Train Loss = 0.399806, Val Loss = 0.387575, Gnorm = 0.228561, Samples = 14080256, LR = 1.99e-04, Steps/sec = 1.13, Samples/sec = 288.8
Step 55500 (5.6%): Train Loss = 0.394262, Val Loss = 0.373819, Gnorm = 0.273705, Samples = 14208256, LR = 1.98e-04, Steps/sec = 1.09, Samples/sec = 279.9
Step 56000 (5.6%): Train Loss = 0.399729, Val Loss = 0.378182, Gnorm = 0.279817, Samples = 14336256, LR = 1.98e-04, Steps/sec = 1.12, Samples/sec = 288.0
Step 56500 (5.7%): Train Loss = 0.394343, Val Loss = 0.391575, Gnorm = 0.299846, Samples = 14464256, LR = 1.98e-04, Steps/sec = 1.12, Samples/sec = 287.7
Step 57000 (5.7%): Train Loss = 0.381904, Val Loss = 0.376181, Gnorm = 0.242455, Samples = 14592256, LR = 1.98e-04, Steps/sec = 1.09, Samples/sec = 279.4
Step 57500 (5.8%): Train Loss = 0.379925, Val Loss = 0.400254, Gnorm = 0.282276, Samples = 14720256, LR = 1.98e-04, Steps/sec = 1.12, Samples/sec = 287.5
Step 58000 (5.8%): Train Loss = 0.383591, Val Loss = 0.392206, Gnorm = 0.265577, Samples = 14848256, LR = 1.98e-04, Steps/sec = 1.09, Samples/sec = 279.2
Step 58500 (5.9%): Train Loss = 0.375357, Val Loss = 0.366483, Gnorm = 0.245262, Samples = 14976256, LR = 1.98e-04, Steps/sec = 1.13, Samples/sec = 288.1
Step 59000 (5.9%): Train Loss = 0.383512, Val Loss = 0.380456, Gnorm = 0.353944, Samples = 15104256, LR = 1.98e-04, Steps/sec = 1.09, Samples/sec = 280.0
Step 59500 (6.0%): Train Loss = 0.404956, Val Loss = 0.364824, Gnorm = 0.266546, Samples = 15232256, LR = 1.98e-04, Steps/sec = 1.13, Samples/sec = 288.3
Step 60000 (6.0%): Train Loss = 0.379541, Val Loss = 0.363324, Gnorm = 0.293397, Samples = 15360256, LR = 1.98e-04, Steps/sec = 1.13, Samples/sec = 289.1
Step 60500 (6.1%): Train Loss = 0.379705, Val Loss = 0.374965, Gnorm = 0.225728, Samples = 15488256, LR = 1.98e-04, Steps/sec = 1.09, Samples/sec = 279.8
Step 61000 (6.1%): Train Loss = 0.402479, Val Loss = 0.371844, Gnorm = 0.298734, Samples = 15616256, LR = 1.98e-04, Steps/sec = 1.13, Samples/sec = 288.2
Step 61500 (6.2%): Train Loss = 0.377481, Val Loss = 0.374720, Gnorm = 0.282990, Samples = 15744256, LR = 1.98e-04, Steps/sec = 1.09, Samples/sec = 279.7
Step 62000 (6.2%): Train Loss = 0.391045, Val Loss = 0.367033, Gnorm = 0.346528, Samples = 15872256, LR = 1.98e-04, Steps/sec = 1.12, Samples/sec = 288.0
Step 62500 (6.3%): Train Loss = 0.368571, Val Loss = 0.377430, Gnorm = 0.264859, Samples = 16000256, LR = 1.98e-04, Steps/sec = 1.09, Samples/sec = 279.2
Step 63000 (6.3%): Train Loss = 0.390962, Val Loss = 0.392362, Gnorm = 0.336088, Samples = 16128256, LR = 1.98e-04, Steps/sec = 1.13, Samples/sec = 289.1
Step 63500 (6.4%): Train Loss = 0.362908, Val Loss = 0.390488, Gnorm = 0.284009, Samples = 16256256, LR = 1.98e-04, Steps/sec = 1.13, Samples/sec = 288.9
Step 64000 (6.4%): Train Loss = 0.372814, Val Loss = 0.367137, Gnorm = 0.322222, Samples = 16384256, LR = 1.98e-04, Steps/sec = 1.09, Samples/sec = 278.6
Step 64500 (6.5%): Train Loss = 0.366776, Val Loss = 0.391011, Gnorm = 0.297949, Samples = 16512256, LR = 1.98e-04, Steps/sec = 1.13, Samples/sec = 288.3
Step 65000 (6.5%): Train Loss = 0.377369, Val Loss = 0.337793, Gnorm = 0.316802, Samples = 16640256, LR = 1.98e-04, Steps/sec = 1.09, Samples/sec = 279.9
Step 65500 (6.6%): Train Loss = 0.346466, Val Loss = 0.336727, Gnorm = 0.305384, Samples = 16768256, LR = 1.98e-04, Steps/sec = 1.12, Samples/sec = 287.9
Step 66000 (6.6%): Train Loss = 0.375561, Val Loss = 0.320169, Gnorm = 0.273584, Samples = 16896256, LR = 1.98e-04, Steps/sec = 1.09, Samples/sec = 279.8
Step 66500 (6.7%): Train Loss = 0.342566, Val Loss = 0.354201, Gnorm = 0.243457, Samples = 17024256, LR = 1.98e-04, Steps/sec = 1.12, Samples/sec = 287.7
Step 67000 (6.7%): Train Loss = 0.347785, Val Loss = 0.324301, Gnorm = 0.283879, Samples = 17152256, LR = 1.98e-04, Steps/sec = 1.12, Samples/sec = 287.7
Step 67500 (6.8%): Train Loss = 0.334910, Val Loss = 0.336748, Gnorm = 0.256273, Samples = 17280256, LR = 1.98e-04, Steps/sec = 1.09, Samples/sec = 280.3
Step 68000 (6.8%): Train Loss = 0.333141, Val Loss = 0.354740, Gnorm = 0.246830, Samples = 17408256, LR = 1.98e-04, Steps/sec = 1.12, Samples/sec = 287.9
Step 68500 (6.9%): Train Loss = 0.361786, Val Loss = 0.369486, Gnorm = 0.347346, Samples = 17536256, LR = 1.98e-04, Steps/sec = 1.09, Samples/sec = 279.9
Step 69000 (6.9%): Train Loss = 0.351219, Val Loss = 0.338991, Gnorm = 0.212198, Samples = 17664256, LR = 1.98e-04, Steps/sec = 1.12, Samples/sec = 287.6
Step 69500 (7.0%): Train Loss = 0.341309, Val Loss = 0.331868, Gnorm = 0.268499, Samples = 17792256, LR = 1.98e-04, Steps/sec = 1.09, Samples/sec = 279.3
Step 70000 (7.0%): Train Loss = 0.359437, Val Loss = 0.355411, Gnorm = 0.228261, Samples = 17920256, LR = 1.98e-04, Steps/sec = 1.12, Samples/sec = 287.8
Step 70500 (7.1%): Train Loss = 0.344019, Val Loss = 0.322847, Gnorm = 0.223472, Samples = 18048256, LR = 1.98e-04, Steps/sec = 1.13, Samples/sec = 288.0
Step 71000 (7.1%): Train Loss = 0.345844, Val Loss = 0.319087, Gnorm = 0.229110, Samples = 18176256, LR = 1.98e-04, Steps/sec = 1.09, Samples/sec = 279.7
Step 71500 (7.2%): Train Loss = 0.332365, Val Loss = 0.337063, Gnorm = 0.239720, Samples = 18304256, LR = 1.97e-04, Steps/sec = 1.13, Samples/sec = 288.2
Step 72000 (7.2%): Train Loss = 0.361218, Val Loss = 0.363217, Gnorm = 0.207987, Samples = 18432256, LR = 1.97e-04, Steps/sec = 1.09, Samples/sec = 279.8
Step 72500 (7.3%): Train Loss = 0.347149, Val Loss = 0.332879, Gnorm = 0.240046, Samples = 18560256, LR = 1.97e-04, Steps/sec = 1.12, Samples/sec = 287.5
Step 73000 (7.3%): Train Loss = 0.364845, Val Loss = 0.359050, Gnorm = 0.267609, Samples = 18688256, LR = 1.97e-04, Steps/sec = 1.12, Samples/sec = 288.0
Step 73500 (7.4%): Train Loss = 0.343347, Val Loss = 0.338101, Gnorm = 0.207368, Samples = 18816256, LR = 1.97e-04, Steps/sec = 1.09, Samples/sec = 279.4
Step 74000 (7.4%): Train Loss = 0.355317, Val Loss = 0.309009, Gnorm = 0.177431, Samples = 18944256, LR = 1.97e-04, Steps/sec = 1.12, Samples/sec = 287.4
